Date;Lat;Lon;Dep;Mag;Place
2016.06.23;38.0880;38.5523;005.2;3.7;NARLI-SINCIK (ADIYAMAN) [ 2.88 km]
2016.06.22;40.7053;29.2232;007.6;3.7;YALOVA ACIKLARI (MARMARA DENIZI)
2016.06.22;38.4893;44.7428;005.0;4.4;TURKIYE-IRAN SINIR BOLGESI
2016.06.22;38.5057;44.7682;005.0;3.8;TURKIYE-IRAN SINIR BOLGESI
2016.06.22;38.5090;44.7362;005.0;4.5;TURKIYE-IRAN SINIR BOLGESI
2016.06.21;35.3583;31.6407;006.9;3.9;AKDENIZ
2016.06.21;39.4037;40.7345;005.0;4.1;KAYNARPINAR-KARLIOVA (BINGOL) [ 3.74 km]
2016.06.19;35.6860;26.5280;013.5;4.0;AKDENIZ
2016.06.14;37.1837;26.8542;004.1;3.8;ONIKI ADALAR (AKDENIZ)
2016.06.12;36.9568;27.9550;005.0;3.9;GOKOVA KORFEZI (AKDENIZ)
2016.06.10;39.0250;40.7383;005.3;4.5;ELMALI- (BINGOL) [ .43 km]
2016.06.07;40.2750;29.1495;013.5;3.6;KAZIKLI-GURSU (BURSA) [ 2.01 km]
2016.06.07;40.2652;29.1523;015.8;4.6;KAZIKLI-GURSU (BURSA) [ 1 km]
2016.06.06;35.4648;31.6000;007.9;3.9;AKDENIZ
2016.06.05;38.6103;26.7007;016.4;4.3;IZMIR KORFEZI (EGE DENIZI)
2016.06.04;35.6293;26.5177;010.4;4.0;AKDENIZ
2016.06.04;35.5102;31.6867;005.0;4.0;AKDENIZ
2016.05.30;40.5252;34.8450;005.0;3.9;GUZELYURT- (CORUM) [ 1.43 km]
2016.05.28;36.0988;29.6803;005.0;4.1;BAYINDIR-KAS (ANTALYA) [ 9.75 km]
2016.05.28;40.0487;37.8930;006.8;3.6;BUYUKGUNEY-ZARA (SIVAS) [ 4.32 km]
2016.05.28;38.7373;43.1765;005.0;3.7;VAN GOLU
2016.05.27;35.5605;27.6650;022.3;4.0;AKDENIZ
2016.05.27;36.1922;41.4582;017.6;3.9;SURIYE
2016.05.25;39.3482;40.9295;005.0;4.0;ILIPINAR-KARLIOVA (BINGOL) [ 3.15 km]
2016.05.23;36.1140;27.8157;017.8;3.7;RODOS ADASI (AKDENIZ)
2016.05.23;36.7620;27.5978;114.1;3.7;KARAKOY-DATCA (MUGLA) [ 3.27 km]
2016.05.22;36.0752;36.3763;013.2;3.9;HACIPASA-ALTINOZU (HATAY) [ .89 km]
2016.05.20;39.2582;40.2238;005.0;3.5;ACIKGUNEY-KIGI (BINGOL) [ .7 km]
